policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
transformer,fold2_final,candidate04,42,51200,1279.9,60.7,71170.53,70252.07,0.001,8713,-0.2407689201859985,-0.3315592094163035,-0.623914406227709,-0.4789375253479171,0.6352920488880863,-0.298816021747614,0.0014912764611603,0.0129934918060898,8713
transformer,fold2_final,candidate04,43,51200,1313.6,57.6,71857.3,70911.84,0.001,8713,-0.2500373312852862,-0.3446678179387358,-0.6200083293998533,-0.471276314256547,0.6179077397181407,-0.292195240287922,0.0015197414761601,0.0132415074817836,8713
transformer,fold2_final,candidate04,44,51200,1312.9,57.9,71703.57,70778.19,0.001,8713,-0.2337485795804622,-0.3219047124668068,-0.6176027224802235,-0.4752835765462396,0.6317807752393433,-0.2935364308250953,0.0014909106969121,0.0129903049021959,8713
