policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
mlp,fold1_search,candidate01,42,51200,331.1,38.2,122182.92,121169.27,0.001,6887,0.7615309210210143,1.0289516983186424,0.9254249026002503,-0.2989444730073242,0.4605076991848679,0.27665065981568615,0.001210000988567137,0.008333276808261871,6887
mlp,fold1_search,candidate01,43,51200,325.8,38.1,122182.99,121153.46,0.001,6887,0.7564063848245679,1.0203598354113153,0.9214359995015795,-0.30000855983999275,0.4681999425465378,0.27643868719519316,0.0012293034842359807,0.008466213095933199,6887
mlp,fold1_search,candidate01,44,51200,325.8,38.1,119478.3,118497.26,0.001,6887,0.6915286677629999,0.931075234382687,0.7332385168410547,-0.32861008925744234,0.478470053981729,0.24094957446613363,0.0011974147666871538,0.008246595498174428,6887
mlp,fold1_search,candidate02,42,51200,325.4,38.8,122040.45,121025.62,0.001,6887,0.7587243770065549,1.0253573422199385,0.9211020431489113,-0.29825776299377116,0.4597568527652496,0.2747258348785864,0.0012122462822076491,0.008348740145564078,6887
mlp,fold1_search,candidate02,43,51200,324.1,37.7,122693.78,121663.59,0.001,6887,0.7656024238997904,1.0329689134426538,0.9368660325470851,-0.3023685916520165,0.47174863009437523,0.2832788628278744,0.0012243911629363936,0.008432381939142943,6887
mlp,fold1_search,candidate02,44,51200,335.0,38.0,119106.48,118128.59,0.001,6887,0.6826826702459539,0.9189089195174204,0.71585127309534,-0.32973450778316227,0.4798292519357111,0.23604086718004202,0.0011972361583010075,0.008245365422219039,6887
mlp,fold1_search,candidate03,42,51200,321.2,38.1,123016.95,121995.85,0.001,6887,0.7745818238634977,1.046791772058823,0.9555485631421946,-0.301123642397495,0.4690797798016728,0.2877382638210704,0.001210533012166085,0.008336940854787827,6887
mlp,fold1_search,candidate03,43,51200,320.8,38.0,124011.51,122963.11,0.001,6887,0.7985371709843856,1.0789587665584712,1.0077940362171365,-0.29841319554876167,0.4655253764822179,0.30073903880254016,0.0012335421825002235,0.00849540501087904,6887
mlp,fold1_search,candidate03,44,51200,321.2,38.0,120618.31,119625.56,0.001,6887,0.7119770532378955,0.9595592914047781,0.7762290593614709,-0.3297977092178596,0.48852378045412587,0.2559985656057471,0.0011995780714861243,0.00826149417832494,6887
mlp,fold1_search,candidate04,42,51200,314.4,38.2,122693.28,121674.81,0.001,6887,0.7721867162872992,1.0434351156320676,0.9480511173151525,-0.29896007422070014,0.46176734079514525,0.2834294323975557,0.0012112546047374024,0.00834191046282649,6887
mlp,fold1_search,candidate04,43,51200,315.8,38.7,123315.85,122275.24,0.001,6887,0.7789388490746652,1.0517068508151486,0.9724255835075724,-0.2997562553725344,0.4720143719070753,0.29149065154068166,0.0012312837716403505,0.008479851335287093,6887
mlp,fold1_search,candidate04,44,51200,314.6,37.6,118953.17,117975.08,0.001,6887,0.6798767825758594,0.9150457768595267,0.7133542184433089,-0.32802507861085983,0.4782582526542953,0.23399807358225488,0.0011990055965463327,0.008257551543414593,6887
