policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
mlp,fold1_final,candidate03,42,51200,412.0,68.8,426929.28,419107.48,0.001,10656,2.223087985771501,3.0548097707239883,5.301481482729542,-0.4240046539096701,0.615313395118608,2.247852821293264,0.001734933288007214,0.018487449117004874,10656
mlp,fold1_final,candidate03,43,51200,370.7,59.4,422133.59,414346.27,0.001,10656,2.2136363132906185,3.048048998996367,5.204928150524538,-0.42603666474623053,0.61306015490816,2.2174902294932406,0.0017479696722180994,0.018626364827156065,10656
mlp,fold1_final,candidate03,44,51200,336.1,59.4,438639.94,430554.89,0.001,10656,2.2005074193228826,3.021136836644048,5.235449079271254,-0.44324839893060297,0.638276835686028,2.3206044220696826,0.0017462192731140345,0.01860771257430315,10656
mlp,fold1_final,candidate03,45,51200,384.1,63.4,413270.97,405741.98,0.001,10656,2.200373771355043,3.029638120417685,5.160206790548175,-0.41906495044045367,0.6073127679355321,2.1624618029435636,0.0017259989200193468,0.018392244491726162,10656
mlp,fold1_final,candidate03,46,51200,384.1,64.0,413376.78,406007.51,0.001,10656,2.1770439823871284,2.988867933925655,4.942018500415539,-0.437910765738627,0.6167496927869103,2.1641631058114297,0.001688641105854028,0.017994159623980523,10656
