policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
mlp,fold2_final,candidate03,42,51200,385.5,55.6,75955.06,74970.39,0.001,8713,-0.1768298581903675,-0.2427780957664126,-0.5507980993504965,-0.4565379216875261,0.6042084056717087,-0.2514602195469152,0.0014976028083188,0.013048613268882,8713
mlp,fold2_final,candidate03,43,51200,371.4,47.8,73029.42,72069.07,0.001,8713,-0.2453492521207047,-0.3378634179015045,-0.611830014844687,-0.4585939495120813,0.6022570449149005,-0.2805815429376603,0.0015195742425641,0.0132400503754615,8713
mlp,fold2_final,candidate03,44,51200,343.8,47.8,74149.34,73213.43,0.001,8713,-0.1766197070606732,-0.24338000367892,-0.5658708665858316,-0.4755431370243042,0.6343838569179695,-0.2690960070468878,0.0014578839688107,0.0127025430202484,8713
