policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
transformer,fold2_final,candidate04,42,51200,1279.9,60.7,71170.53,70252.07,0.001,8713,-0.24076892018599855,-0.33155920941630357,-0.623914406227709,-0.4789375253479171,0.6352920488880863,-0.298816021747614,0.0014912764611603212,0.01299349180608988,8713
transformer,fold2_final,candidate04,43,51200,1313.6,57.6,71857.3,70911.84,0.001,8713,-0.2500373312852862,-0.3446678179387358,-0.6200083293998533,-0.47127631425654704,0.6179077397181407,-0.292195240287922,0.0015197414761601777,0.01324150748178363,8713
transformer,fold2_final,candidate04,44,51200,1312.9,57.9,71703.57,70778.19,0.001,8713,-0.2337485795804622,-0.32190471246680685,-0.6176027224802235,-0.4752835765462396,0.6317807752393433,-0.2935364308250953,0.0014909106969121923,0.01299030490219593,8713
transformer,fold2_final,candidate04,45,51200,1213.1,53.0,75562.73,74591.82,0.001,8713,-0.17347827467317778,-0.2386323580214841,-0.546014800553892,-0.4674971062695733,0.6133449928135751,-0.2552603392393027,0.0014844047153405148,0.012933618284761906,8713
transformer,fold2_final,candidate04,46,51200,1227.6,67.3,72985.97,72038.0,0.001,8713,-0.21050612461049692,-0.29019992838726333,-0.5932515940316149,-0.4734809385633381,0.6281929569178129,-0.28089332154628543,0.0015002945180425246,0.013072066135704516,8713
