policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
mlp,fold2_final,candidate03,42,51200,385.5,55.6,75955.06,74970.39,0.001,8713,-0.17682985819036753,-0.24277809576641268,-0.5507980993504965,-0.45653792168752616,0.6042084056717087,-0.2514602195469152,0.001497602808318838,0.013048613268882037,8713
mlp,fold2_final,candidate03,43,51200,371.4,47.8,73029.42,72069.07,0.001,8713,-0.2453492521207047,-0.33786341790150454,-0.611830014844687,-0.4585939495120813,0.6022570449149005,-0.28058154293766036,0.001519574242564166,0.01324005037546158,8713
mlp,fold2_final,candidate03,44,51200,343.8,47.8,74149.34,73213.43,0.001,8713,-0.17661970706067323,-0.24338000367892004,-0.5658708665858316,-0.4755431370243042,0.6343838569179695,-0.26909600704688785,0.00145788396881079,0.012702543020248414,8713
mlp,fold2_final,candidate03,45,51200,383.8,51.4,75289.67,74320.69,0.001,8713,-0.18665912467975057,-0.2567758472835929,-0.5642212181370146,-0.45723552760180564,0.6078052525534131,-0.2579819863590114,0.001486852825368626,0.012954948667436838,8713
mlp,fold2_final,candidate03,46,51200,354.2,52.1,74298.47,73356.74,0.001,8713,-0.18401875960006314,-0.25238554607449687,-0.573164121450703,-0.4669824285576808,0.6260620069275917,-0.26765757339717877,0.0014642983680133717,0.012758431680500507,8713
