policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
transformer,fold1_final,candidate04,42,51200,1269.3,67.2,415366.84,407875.69,0.001,10656,2.212957719500347,3.0468934310647415,5.118748207811743,-0.42512875693732116,0.605240035315975,2.1761270626621467,0.001708505270364988,0.018205832161009315,10656
transformer,fold1_final,candidate04,43,51200,1258.9,79.4,398974.72,391741.39,0.001,10656,2.1957999095971235,3.022368524362937,4.9740152066276675,-0.41666027976972836,0.5909563626443144,2.072474567572367,0.0017176273187298004,0.018303036708384755,10656
transformer,fold1_final,candidate04,44,51200,1024.4,36.5,435288.53,427350.07,0.001,10656,2.222170871146794,3.057179314547498,5.337894227777088,-0.43093247148937514,0.6256768373446941,2.30027195212485,0.0017276877140928362,0.018410240281373263,10656
transformer,fold1_final,candidate04,45,51200,1251.1,75.2,402741.16,395486.66,0.001,10656,2.179634406071525,2.9980631332420784,4.947814556638566,-0.4237430682880983,0.6019545267842888,2.096602121550543,0.0017060220343628535,0.018179370798170568,10656
transformer,fold1_final,candidate04,46,51200,1222.1,66.1,442502.72,434290.72,0.001,10656,2.2190478905318516,3.054631100620733,5.33886916540155,-0.4390952091609932,0.6352637226444877,2.344271872865171,0.0017581290101168212,0.01873462273180485,10656
