policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
mlp,fold1_final,candidate03,42,51200,412.0,68.8,426929.28,419107.48,0.001,10656,2.223087985771501,3.0548097707239883,5.301481482729542,-0.4240046539096701,0.615313395118608,2.247852821293264,0.0017349332880072,0.0184874491170048,10656
mlp,fold1_final,candidate03,43,51200,370.7,59.4,422133.59,414346.27,0.001,10656,2.2136363132906185,3.048048998996367,5.204928150524538,-0.4260366647462305,0.61306015490816,2.2174902294932406,0.001747969672218,0.018626364827156,10656
mlp,fold1_final,candidate03,44,51200,336.1,59.4,438639.94,430554.89,0.001,10656,2.200507419322882,3.021136836644048,5.235449079271254,-0.4432483989306029,0.638276835686028,2.320604422069682,0.001746219273114,0.0186077125743031,10656
