policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
transformer,fold1_final,candidate04,42,51200,1269.3,67.2,415366.84,407875.69,0.001,10656,2.212957719500347,3.0468934310647415,5.118748207811743,-0.4251287569373211,0.605240035315975,2.1761270626621467,0.0017085052703649,0.0182058321610093,10656
transformer,fold1_final,candidate04,43,51200,1258.9,79.4,398974.72,391741.39,0.001,10656,2.1957999095971235,3.022368524362937,4.9740152066276675,-0.4166602797697283,0.5909563626443144,2.072474567572367,0.0017176273187298,0.0183030367083847,10656
transformer,fold1_final,candidate04,44,51200,1024.4,36.5,435288.53,427350.07,0.001,10656,2.222170871146794,3.057179314547498,5.337894227777088,-0.4309324714893751,0.6256768373446941,2.30027195212485,0.0017276877140928,0.0184102402813732,10656
