Symbol,regime,skew,excess_kurtosis,std
ADAUSDT,bull_2021,-0.34692945911303213,14.423054807808448,0.0158281571202782
AVAXUSDT,bull_2021,-0.05099959138251296,11.29526509152797,0.02088821076223318
BNBUSDT,bull_2021,-0.5645275621930501,14.747471221722222,0.014636382414520381
BTCUSDT,bull_2021,-0.20387995384335938,10.776893311133932,0.009555727508866005
DOGEUSDT,bull_2021,2.107829188440644,55.463782168165146,0.02588174439301156
ETHUSDT,bull_2021,-0.6992709969217558,8.267526065953904,0.012245457267673556
SOLUSDT,bull_2021,0.23143867466304147,8.884565563875949,0.019597938116122766
XRPUSDT,bull_2021,-0.4591465247969772,20.11737226309336,0.0170842813447131
ADAUSDT,bear_2022,-0.09950222605349876,12.198053243543358,0.010147972532937585
AVAXUSDT,bear_2022,-0.5545865550861836,36.654306256163686,0.013353444935197287
BNBUSDT,bear_2022,0.1088253063265477,19.973104726476222,0.008119045475933888
BTCUSDT,bear_2022,-0.1281625651772284,10.451217231965561,0.006811079044176238
DOGEUSDT,bear_2022,0.7256106133741878,23.770410429384388,0.011710359988802413
ETHUSDT,bear_2022,-0.25210822030471886,10.087485384321333,0.009024809871610728
SOLUSDT,bear_2022,-0.17288333342096338,20.64815199424962,0.013129929815536224
XRPUSDT,bear_2022,-0.35668301670984215,20.691985221163183,0.009421308836420492
ADAUSDT,side_2023,-0.9698273940431252,31.23225985476204,0.007023766177403139
AVAXUSDT,side_2023,-1.61975828725889,47.914474392742754,0.0077276495924409605
BNBUSDT,side_2023,-0.8936084014880609,27.301098663021577,0.004918582350431959
BTCUSDT,side_2023,-0.34750361649221706,29.151369829428234,0.004574005534194844
DOGEUSDT,side_2023,1.5200175789385857,97.60211915064747,0.007657762255148028
ETHUSDT,side_2023,-0.4721574769233571,26.27253580921945,0.004884574126701304
SOLUSDT,side_2023,0.4870655612562014,18.925105968639024,0.009415033331459087
XRPUSDT,side_2023,3.7301476023690947,166.8025363748329,0.00802203873548363
ADAUSDT,bull_2024,-0.3169932323073686,12.840141745530087,0.00990981521102686
AVAXUSDT,bull_2024,-0.040072272444828395,7.078839066294243,0.011157488243101069
BNBUSDT,bull_2024,-0.26158958076413313,11.267147569690183,0.006586044390738993
BTCUSDT,bull_2024,-0.11845539608888388,8.418526244697782,0.005438096938449164
DOGEUSDT,bull_2024,0.23162729701940363,16.43866248231314,0.011229434673073047
ETHUSDT,bull_2024,-0.2614424663693241,14.021819222984913,0.0065894010383896326
SOLUSDT,bull_2024,0.11926551432799501,6.342777860403325,0.010411228132159991
XRPUSDT,bull_2024,0.1364952011514274,27.47300490134317,0.009231823664419365
ADAUSDT,choppy_2025,1.5864861796829168,89.70040694041695,0.01085035491505568
AVAXUSDT,choppy_2025,-0.49943038693326025,11.734531477359607,0.009843950459530846
BNBUSDT,choppy_2025,-1.0547365894545313,18.134899042818006,0.005866246166639339
BTCUSDT,choppy_2025,-0.2363049211819895,12.340396696966952,0.004757488039936687
DOGEUSDT,choppy_2025,-0.5764492860515551,15.94605409125795,0.009983862829666046
ETHUSDT,choppy_2025,-0.606116720652897,18.35709835844601,0.007764445269628388
SOLUSDT,choppy_2025,0.1182997273398386,11.111645905293859,0.009268084777867695
XRPUSDT,choppy_2025,0.34667254098893785,26.26448359519045,0.008994685552577122
