전략,CAGR,Sharpe,Sortino,Calmar,MDD,Volatility,Avg Turnover,Total Cost,N periods
Buy & Hold BTC,0.6726161773160622,1.3099091551661548,1.8540084792281928,1.9349470679167289,-0.34761476862529267,0.48106111503610793,5.175983436853002e-05,0.001,19320
Equal-Weight,0.6747455960769275,1.0912012853993733,1.5006637741932707,1.261396615405008,-0.5349194597769559,0.6934125480209441,0.002297418367302751,0.04438612285628915,19320
Markowitz,0.5186003535314765,1.0541225213683405,1.433358439135408,1.157311376252258,-0.44810788537383023,0.5298934195427566,0.0024104771039898313,0.04657041764908354,19320
Risk Parity,0.6209019640486269,1.0795883161802275,1.477768225944065,1.257540388291334,-0.49374315913007694,0.6340590934939138,0.0022617282839511245,0.043696590445935726,19320
PPO (MLP),0.6268817590510438,1.1078705251385326,1.5212709496240018,1.319728507254457,-0.4750081214470384,0.6046389064744019,0.0023974325652494563,0.0463183971606195,19320
